Title,Period,Country,Classification
Case (Inrō) with Design of Dragonfly Seated on Leaf of Flowering Plant,Date Unknown,Null,Inrō
Case (Inrō) with Design of Peacock and Pea Hen beside Flowering Malvern Plants,Date Unknown,Null,Inrō
Rhododendron Flowers,Date Unknown,Null,Drawings
Yellow Trumpet-like Flowers on a Vine,Date Unknown,Null,Drawings
White Flowers on a Vine,Date Unknown,Null,Drawings
Yellow Flowers with Small Heads,Date Unknown,Null,Drawings
Vase of Flowers,Date Unknown,Null,Drawings
"Flowers, Birds, Vegetables and Insects",Date Unknown,Null,Paintings
"Shakuhachi, (a kind of bamboo flute), with Its Cover and Cherry Flowers",17th - 19th Century,Japan,Prints
"[Vase of Flowers on Table, Blurred View of Boy in Background]",Date Unknown,Null,Photographs
"[Young Girl with Flowers, Sicily, Italy]",Date Unknown,Null,Photographs
Flowers of the Four Seasons,14th - 17th Century,China,Paintings
"Two Children, One Holding a Basket with Flowers",Date Unknown,Null,Prints
Case (Inrō) with Design of Flowers in Circular Panels,17th - 19th Century,Japan,Inrō
Two Hat-Shaped Chinoiserie Flowers with Fanciful Leaves,Date Unknown,Null,Drawings
Vase with birds and flowers,17th - 20th Century,China,Ceramics
Vase with birds and flowers,17th - 20th Century,China,Ceramics
Vase with birds and flowers,17th - 20th Century,China,Ceramics
ase with birds and flowers,17th - 20th Century,China,Ceramics
Vase with birds and flowers,17th - 20th Century,China,Ceramics
Vase with birds and flowers,17th Century,China,Ceramics
Textile Design with a Pattern of White and Blue Flowers on a Black Ground,Date Unknown,Null,Drawings
"Branch with Cherry Flowers, Writing Box and Sheet of Paper for Poem Writing (Tanzaku)",17th - 19th Century,Japan,Prints
Octagonal Jar with Decoration of Flowering Cherry and Chrysanthemum,17th - 19th Century,Japan,Ceramics
"Putti Musicians in a Medallion, Surrounded by Musical Attributes, Flowers, and Fruit",Date Unknown,Null,Paintings
Triple gourd vase with dragon and flowers,17th Century,China,Ceramics
Bowl with flowers,18th Century,China,Ceramics
Square vase with birds and flowers,17th - 20th Century,China,Ceramics
Square vase with flowers of four seasons,17th Century,China,Ceramics
Square vase with birds and flowers,17th - 20th Century,China,Ceramics
Dish with birds and flowers,14th - 17th Century,China,Ceramics
Square vase with flowers of four seasons,17th Century,China,Ceramics
Snuff bottle with flowers and rocks,17th - 20th Century,China,Snuff Bottles
Tea caddy with flowers,19th Century,China,Ceramics
Vase with flowers,17th - 20th Century,China,Ceramics
Vase with flowers,17th - 20th Century,China,Ceramics
Vase with flowers,17th - 20th Century,China,Ceramics
Bowl with flowers (one of a pair),18th Century,China,Ceramics
Vase with flowers,17th - 20th Century,China,Ceramics
Bowl with flowers (one of a pair),18th Century,China,Ceramics
Flowering Crabapple and Pair of Birds,17th - 20th Century,China,Paintings
"Design for a Frame with Flowers, Feathers, Leaves, and Grapes",Date Unknown,Null,Drawings
Plum Branch with Flowers and a Stand with a Writing Set,Date Unknown,Null,Prints
Trompe l'oeil design of birds and flowers,Date Unknown,Null,Drawings
Designs for the ceiling and wall of a room decorated with waterbirds and flowering vines,Date Unknown,Null,Drawings
Design for wallpaper featuring flowers and latticework,Date Unknown,Null,Drawings
"Design for a room with double doors decorated with garlands of fruit and flowers, scrolls, and lattice work",Date Unknown,Null,Drawings
Partial design for ceiling with a border of flowers,Date Unknown,Null,Drawings
Design for decorative border to a ceiling with a putto carrying a basket of flowers,Date Unknown,Null,Drawings
Foliage and flowers (Feuillages et Fleurs),Date Unknown,Null,Prints
"[Shirtless Man with Arm Raised in Fascist Salute with Superimposed Cross, Circle, and Spray of Flowers]",Date Unknown,Null,Photographs
"Shallow Bowl with Design of Dragon amid Waves, Phoenix, and Flowers",17th - 19th Century,Japan,Ceramics
Pouring Vessel (Kendi) with Flowers and Birds,16th - 17th Century,Null,Ceramics
Design for a ceiling with lattice work and flowering vines,Date Unknown,Null,Drawings
Study of a Plant with Red-Purple Flowers (Sebastiana africana purpurea),Date Unknown,Null,Drawings
Christ on the Cross flanked by two vases holding flowers,Date Unknown,Null,Prints
Bowl decorated with flowers and beast faces,14th - 17th Century,China,Ceramics
"Plants, Flowers, and Birds",Date Unknown,Null,Paintings
Basket of Fruit and Two Vases of Flowers,Date Unknown,Null,Paintings
Bank of Flowers in a Landscape (Massif de fleurs dans un paysage),Date Unknown,Null,Paintings
Vase of Flowers (Fleurs et feuilles d'acanthe dans un vase d'étain a godrons),Date Unknown,Null,Drawings
Nude Woman Picking Flowers,Date Unknown,Null,Prints
Flowers and Grasses of Autumn,17th - 19th Century,Japan,Paintings
"Butterfly, Bamboo, Flowers, and Rock, after Chen Hongshou",Date Unknown,Null,Paintings
"Flowering Branch and Poem, after Yun Shouping",Date Unknown,Null,Paintings
"""Americana Print: Scotch and Flowers"" Textile",Date Unknown,Null,Textiles
Jar and Lid with Flowering Plant,17th - 19th Century,Japan,Ceramics
Hexagonal Bowl with Decoration of Flowers of Four Seasons,17th - 19th Century,Japan,Ceramics
Sutra cover with boys holding the stems of large flowers,14th - 17th Century,China,Textiles
Horizontal Panel with Profile Dragon amid Flowers,16th - 17th Century,Null,Textiles
Inrō with Peacocks and Flowers,17th - 19th Century,Japan,Inrō
Textile Design with Fairies or Little Girls and Green Flowers on a Red Ground,Date Unknown,Null,Drawings
Flowers of the Dusk,Date Unknown,Null,Books
Vase decorated with flowers and butterflies,17th Century,China,Ceramics
"Flowers in a golden vase, with three birds",Date Unknown,Null,Textiles
"Flowers in a golden vase, with a parrot",Date Unknown,Null,Textiles
Vase decorated with flowers and birds,17th Century,China,Ceramics
Flowers and Insects,17th - 20th Century,China,Paintings
Vase decorated with lotus flowers,18th Century,China,Ceramics
"Picture Book of Snow, Moon, and Flowers (Ehon setsugekka) 絵本雪月花; 絵本倭文庫(えほんやまとぶんこ)",17th - 19th Century,Japan,Illustrated Books
Picture Book on Flowers of the Four Seasons (Ehon shiki no hana) 絵本四季花,17th - 19th Century,Japan,Illustrated Books
Bag for a Noh Mask with Flowers and Geometric Patterns,17th - 19th Century,Japan,Textiles
Fruit and flowers,Date Unknown,Null,Ceramics
Fruit and flowers,Date Unknown,Null,Ceramics
Woman with flowers,Date Unknown,Null,Ceramics
Lady holding a bunch of flowers to her breast,Date Unknown,Null,Sculpture
Dish with Grasses and Flowers,17th - 19th Century,Japan,Ceramics
Flowers in a Vase and Two Plums,Date Unknown,Null,Textiles
Dish with Bird-and-Flower Design,17th - 19th Century,Japan,Ceramics
Woman carrying a basket of flowers,Date Unknown,Null,Ceramics
"Flowers, from ""Nouvelle Suite de Fleurs idéales a l'usage des dessinateurs et des peintres"" (Nr 3)",Date Unknown,Null,Prints
"Flowers, from ""Nouvelle Suite de Cahiers de Fleurs idéales a l'usage des dessinateurs et des peintres""",Date Unknown,Null,Prints
Box with flowers and birds,16th Century,China,Ceramics
Case (Inrō) with Design of Flowering Hagi beside a Brushwood Fence,17th - 20th Century,Japan,Inrō
Vase with landscape and bird-and-flower scenes,17th Century,China,Ceramics
"Flowers, Fish and Females for the Four Seasons",Date Unknown,Null,Paintings
Case (Inrō) with Design of Nanban Flowers,17th - 20th Century,Japan,Inrō
Case (Inrō) with Design of Praying Mantis Standing on a Flowering Chrysanthemum (obverse); Large Red Blossom (reverse),17th - 19th Century,Japan,Inrō
Case (Inrō) with Design of Various Flowers Growing beside Rocks and Fence,17th - 19th Century,Japan,Inrō
Woman with Flowers in her Hair,Date Unknown,Null,Paintings
"Small chest of drawers decorated with flowers, birds, and insects",14th - 20th Century,Korea,Lacquer
"Friezes with Birds, Flowers and Meandering Wreaths and Scrolls (4)",Date Unknown,Null,Prints
"Cries of London, No. 6: All a growing, here's Flowers",Date Unknown,Null,Prints
Fan Case with Flowers and Insects on a Brown Background,17th - 20th Century,China,Textiles
Actress with basket of flowers (W423),Date Unknown,Null,Prints
"Vessel with mythical creatures, flowers, and birds",17th - 20th Century,China,Lacquer
[Still Life of Flowers in a Stein],Date Unknown,Null,Transparencies
Ivory Panel from a Cabinet with Flowers and Birds,Date Unknown,Null,Ivories and Bone
"Friezes with Birds, Flowers and Meandering Wreaths and Scrolls (8)",Date Unknown,Null,Prints
Boy with a basket of flowers,Date Unknown,Null,Ceramics
Design for an Emblem with a Child Picking Flowers,Date Unknown,Null,Drawings
"Friezes with Birds, Flowers and Meandering Wreaths and Scrolls (1)",Date Unknown,Null,Prints
[Advertisement for Fosteria Glass: Flowers in a Vase],Date Unknown,Null,Photographs
"Saint Catherine of Siena standing holding flowers and book in her right hand, a heart and crucifix in her left, from ""Piccoli Santi"" (Small Saints)",Date Unknown,Null,Prints
Dish with Stylized Flowers,14th - 17th Century,China,Cloisonné
"Rocks and Flowering Peach, Representing Spring; from Set of four Panels Representing the Four Seasons",17th - 20th Century,China,Textiles
Birds among flowering branches against clouds,14th - 17th Century,China,Textiles
Lobed dish with flowers and birds (one from a set,12th - 14th Century,China,Metalwork
Summer Flowers,17th - 19th Century,Japan,Paintings
Sash with Flowering Plants,Date Unknown,Iran,Textiles
"Panel with flowers, birds, and animals",Date Unknown,Null,Textiles
"The Flower-Garden Display'd, In Above Four Hundred Curious Representations Of the Most Beautiful Flowers; Regularly Dispos'd in the Respective Months of Their Bloom",Date Unknown,England,Books
"""Page of Calligraphy Illuminated with Animals and Plants in a Field of Flowers"", Folio from the Shah Jahan Album",Date Unknown,India,Codices
"Fragment of a Frieze with Acanthus Scrolls, Palmettes, and Flowers",Date Unknown,Egypt,Sculpture
"Spring Rain Collection (Harusame shū), vol. 2: Cut Flowers: Clematis, Bush Clover, Iris, Camellia, and Azalea",17th - 19th Century,Japan,Prints
Fan Case with Flowers and Insects on a White Background,17th - 20th Century,China,Textiles
"Plate 2: a cartouche with a child seen from the back to left and a child seen from the front to right, each playing with the head of a sheep crowned with flowers, from 'Twelve cartouches' (Recueil de douze cartouches)",Date Unknown,Null,Prints
"Plate 4: a cartouche with the head of a cherub at top center, leaves and flowers to either side, from 'Twelve cartouches' (Recueil de douze cartouches)",Date Unknown,Null,Prints
"Plate 9: a cartouche with the head of a ram at top center, flowers at top left and right, from 'Twelve cartouches' (Recueil de douze cartouches)",Date Unknown,Null,Prints
Pair of Table Screens with Flowers and Birds,14th - 19th Century,China,Ivories and Bone
"""Portrait of Jahangir Holding Flower"", Folio from the Davis Album",Date Unknown,India,Codices
Snuff Bottle with Flowers and Rocks,19th Century,Null,Snuff Bottles
"Dish with persimmons, flowers, and birds",14th - 17th Century,China,Lacquer
"Little boy holding a wreath and basket of flowers, from Deuxième Livre de Figures d'après les porcelaines de la Manufacture Royale de France (Second Book of Figures after porcelains from the Manufacture Royale de France)",Date Unknown,Null,Prints
Bowl with Flowers and Waves,17th Century,China,Ceramics
"Scroll Cover with Animals, Birds, and Flowers",10th - 13th Century,China,Textiles
Sutra cover with boys holding the stems of large flowers,14th - 17th Century,China,Textiles
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Flower-Shaped Clothing Plaque,7th - 9th Century,Tibet,Metalwork
Velvet with Pattern of Butterflies and Flowers,Date Unknown,Iran,Textiles
"Textile Fragment with Flowers, Birds and Butterflies",Date Unknown,Iran,Textiles
"Vase decorated with flowers, birds, and poems",17th Century,China,Ceramics
"Pen Box with Flowers, Birds and Animals",Date Unknown,India,Ivories and Bone
"The Virgin seated holding a rosary in her right hand, the infant Christ on her lap holding several rosaries, in an oval frame with flowers surrounding it and a tablet with inscription at the base",Date Unknown,Null,Prints
"Textile with Phoenix, Winged Animal and Flowers",Date Unknown,Null,Textiles
Panel with Phoenixes and Flowers,13th - 14th Century,China,Textiles
Fleurs Tropicales et Palmiers (Tropical Flowers and Palm Trees),Date Unknown,Null,Textiles
"Skull Crowned with Snakes and Flowers (for ""The Duchess of Malfi"")",Date Unknown,Null,Drawings
"Basket of flowers, from the Novelties series (N228, Type 3) issued by Kinney Bros.",Date Unknown,Null,Prints
Jug with flowers and peacock,Date Unknown,Null,Pottery
"Spider, Web, Snake and Flowers (for ""The Duchess of Malfi and The White Devil"")",Date Unknown,Null,Drawings
Girl with Vase of Flowers (Mädchen mit Blumenvase),Date Unknown,Null,Prints
Girl with Vase of Flowers (Mädchen mit Blumenvase),Date Unknown,Null,Blocks
"""We're wearing lots of flowers this spring, especially on hats"" (Fashionable Magazine), plate IX from the suite The English At Home, from Masks and Faces",Date Unknown,Null,Stone
Bird on a Rock by a Flowering Branch,17th - 20th Century,China,Paintings
Over Robe (Uchikake) with Fans and Flowers,17th - 19th Century,Japan,Clothing
Insects and Flowers,17th - 20th Century,China,Paintings
Nature Studies of Daffodils and Other Flowers,Date Unknown,Null,Drawings
"Vase with decoration of rocks, flowers, and butterflies",17th Century,China,Ceramics
Square Dish with Spring Flowers,17th - 19th Century,Japan,Ceramics
Flowers of the Four Seasons,17th - 19th Century,Japan,Paintings
Flowers,14th - 17th Century,China,Paintings
Vase of Flowers in a Niche,Date Unknown,Null,Paintings
"Actress wearing blue hat with flowers, from Stars of the Stage, Fourth Series (N132) issued by Duke Sons & Co. to promote Honest Long Cut Tobacco",Date Unknown,Null,Prints
"“Desk with Writing Set and Plum Flowers,” from the series Ise Calendars for the Asakusa Group (Asakusa-gawa Ise goyomi)
From the Spring Rain Collection (Harusame shū), vol. 2",17th - 19th Century,Japan,Prints
Box with Design of “Evening Face” (Yūgao) Flowers,19th - 20th Century,Japan,Lacquer
Incense Box with Design of the Seven Flowers of Autumn,17th - 19th Century,Japan,Ceramics
Flowers,Date Unknown,Null,Paintings
Fans and Flowers,19th - 20th Century,Japan,Paintings
Basket of Flowers,Date Unknown,Null,Prints
Spring Flowers,Date Unknown,Null,Paintings
"Fabric Design with Flowers, Circles, and Dots",Date Unknown,Null,Drawings
Fabric Design with Blue Flowers,Date Unknown,Null,Drawings
Fabric Design with Sweet Pea Flowers and Vines,Date Unknown,Null,Drawings
Fabric Design with Blue Flowers,Date Unknown,Null,Drawings
Flowers,Date Unknown,Null,Drawings
Flowering Shrubs and Field Sparrows (?),Date Unknown,Null,Paintings
Vase of Flowers,14th - 17th Century,China,Paintings
Album of Birds and Flowers and Other Subjects,17th - 19th Century,Japan,Illustrated Books
Flowers and Butterflies,17th - 20th Century,China,Paintings
Folding Screen for Tea Ceremony with Six Bird-and-Flower Paintings,19th - 20th Century,Japan,Paintings
Flowers and Grasses with a Praying-Mantis,17th - 19th Century,Japan,Netsuke
Design with Flowers and Rocaille Ornaments,Date Unknown,Null,Drawings
Incense Box with Flowering Plum Tree,17th - 19th Century,Japan,Lacquer
Rocaille cartouches with flowers,Date Unknown,Null,Textiles
Rocaille cartouches with flowers,Date Unknown,Null,Textiles
Rocaille cartouches with flowers,Date Unknown,Null,Textiles
Rocaille cartouches with flowers,Date Unknown,Null,Textiles
"Textile with elephants, crowned double headed eagles, and flowers",Date Unknown,Null,Textiles
The Hundred Flowers,14th - 19th Century,China,Paintings
One Hundred Flowers,17th - 20th Century,China,Paintings
Ninsei-style Incense Burner with Flowers of the Four Seasons,17th - 19th Century,Japan,Ceramics
Inrō in the Shape of a Tobacco Case (tabako-ire) with Flowering Plum,17th - 19th Century,Japan,Inrō
